"RANK","INC_YEAR","COMPANY","3-YR GROWTH","REVENUE","INDUSTRY","YEARS","METRO_AREA"
"61","2012","Brafton","4,084%","$11.6m","Advertising & Marketing","","Boston"
"62","2012","Bottle Rocket Apps","4,064%","$6m","Software","","Dallas"
"63","2012","Plum Organics","4,056%","$38.3m","Food & Beverage","","San Francisco"
"64","2012","ALKU","4,014%","$17.4m","Human Resources","","Boston"
"65","2012","CargoBarn","3,894%","$6.9m","Logistics & Transportation","","Fresno, CA"
"66","2012","Audience","3,880%","$97.6m","Telecommunications","","San Jose"
"67","2012","Spigit","3,780%","$9.6m","Software","","San Francisco"
"68","2012","CardCash.com","3,754%","$6.5m","Consumer Products & Services","","New York City"
"69","2012","Desert Jet","3,751%","$4.9m","Logistics & Transportation","","El Centro, CA"
"70","2012","VRx","3,732%","$70.6m","Health","","Salt Lake City"
"71","2012","GarbageMan, A Green Company","3,684%","$4.4m","Environmental Services","","Minneapolis"
"72","2012","Rocket Lawyer","3,672%","$14.2m","Business Products & Services","","San Francisco"
"73","2012","eGumball","3,623%","$6.4m","Advertising & Marketing","","Los Angeles"
"74","2012","Connected Logistics","3,620%","$22.4m","Government Services","","Huntsville, AL"
"75","2012","Dream Finders Homes","3,615%","$24.8m","Real Estate","","Jacksonville, FL"
"76","2012","DBBest Technologies","3,602%","$4.3m","Software","","Seattle"
"77","2012","Modern Everyday","3,586%","$4.4m","Retail","","Los Angeles"
"78","2012","Marketo","3,545%","$32.8m","Software","","San Francisco"
"79","2012","Dynamic Recycling","3,530%","$7m","Manufacturing","","La Crosse, WI-MN"
"80","2012","Innotion Enterprises","3,500%","$35.7m","Real Estate","","Washington, DC"
"81","2012","Reputation Management Consultants","3,363%","$3.9m","Advertising & Marketing","","Los Angeles"
"82","2012","iSirona","3,359%","$6.6m","Health","","Panama City-Lynn Haven, FL"
"83","2012","Bohme","3,340%","$8.5m","Retail","","Salt Lake City"
"84","2012","Palo Alto Networks","3,320%","$185.1m","Security","","San Jose"
"85","2012","Otter Products","3,312%","$347.5m","Consumer Products & Services","","Boulder, CO"
"86","2012","Bizo","3,306%","$12.2m","Advertising & Marketing","","San Francisco"
"87","2012","Century Payments","3,278%","$42.7m","Financial Services","","Dallas"
"88","2012","Pinnacle Solutions","3,272%","$9.6m","Government Services","","Huntsville, AL"
"89","2012","ReplaceMyContacts.com","3,270%","$3.8m","Health","","Allentown-Bethlehem-Easton, PA-NJ"
"90","2012","Armando Montelongo Companies","3,215%","$74.4m","Education","","San Antonio, TX"
"91","2012","M-Edge Accessories","3,185%","$37.2m","Consumer Products & Services","","Baltimore"
"92","2012","NextWorth Solutions","3,154%","$20.3m","Consumer Products & Services","","Boston"
"93","2012","C-DM Network","3,113%","$3.8m","Construction","","Dallas"
"94","2012","The Joint","3,113%","$3.8m","Health","","Phoenix"
"95","2012","GlobalMed","3,094%","$26.3m","Health","","Phoenix"
"96","2012","BoomTown","3,085%","$4.6m","Software","","Charleston-North Charleston, SC"
"97","2012","Peerless Network","3,069%","$45.9m","Telecommunications","","Chicago"
"98","2012","Asentra","3,040%","$8.6m","Advertising & Marketing","","Bridgeport-Stamford-Norwalk, CT"
"99","2012","SugarSync","3,031%","$11.3m","Software","","San Francisco"
"100","2012","Wall Street Network Solutions","3,029%","$3.3m","Telecommunications","","New York City"
"101","2012","Onsite Occupational Health & Safety","3,007%","$18.9m","Health","174.0","Evansville, IN-KY"
"102","2012","ONTRAPORT","3,001%","$3.2m","Software","32.0","Santa Barbara-Santa Maria-Goleta, CA"
"103","2012","ShoeZoo.com","2,989%","$5m","Retail","15.0","Los Angeles"
"104","2012","The FlexPro Group","2,958%","$3.7m","Health","28.0","Philadelphia"
"105","2012","Transcendent One","2,939%","$3.6m","Financial Services","10.0","San Diego"
"106","2012","Patriot Contractors","2,826%","$4.9m","Construction","20.0","Dallas"
"107","2012","Clarity Software Solutions","2,813%","$14.5m","Insurance","31.0","New Haven-Milford, CT"
"108","2012","Landmark Network","2,751%","$4.2m","Real Estate","36.0","Los Angeles"
"109","2012","FLS Energy","2,727%","$39m","Energy","78.0","Asheville, NC"
"110","2012","Mavenir Systems","2,727%","$52.6m","Telecommunications","544.0","Dallas"
"111","2012","Convert2Media","2,726%","$24.6m","Advertising & Marketing","16.0","Orlando, FL"
"112","2012","PCI Strategic Management","2,713%","$21.9m","Government Services","118.0","Baltimore"
"113","2012","Precision Construction & Roofing","2,711%","$11.2m","Construction","18.0","Dallas"
"114","2012","Tellago","2,710%","$5.3m","Software","40.0","Chicago"
"115","2012","Anjaneyap","2,671%","$21.2m","IT Services","200.0","San Jose"
"116","2012","Matt Martin Real Estate Management","2,669%","$31.3m","Real Estate","110.0","Dallas"
"117","2012","Chobani","2,662%","$633.8m","Food & Beverage","1133.0","n/a"
"118","2012","Omatic Software","2,656%","$3.8m","Software","15.0","Charleston-North Charleston, SC"
"119","2012","Allied","2,655%","$31.6m","Environmental Services","98.0","Dallas"
"120","2012","The Premier Group","2,648%","$4.8m","Human Resources","14.0","Denver"
"121","2012","ActivEngage","2,627%","$4.3m","Software","77.0","Orlando, FL"
"122","2012","Digital Risk","2,614%","$79.6m","Financial Services","921.0","Orlando, FL"
"123","2012","Choice Home Warranty","2,598%","$8.4m","Insurance","59.0","New York City"
"124","2012","Streamline Defense","2,588%","$5m","Government Services","40.0","Tampa"
"125","2012","JMA Solutions","2,546%","$10.5m","Government Services","77.0","Washington, DC"
"126","2012","Loan Resolution","2,540%","$10.5m","Financial Services","207.0","Phoenix"
"127","2012","Black Elk Energy","2,510%","$339.9m","Energy","103.0","Houston"
"128","2012","Movement Mortgage","2,478%","$35.6m","Financial Services","405.0","Charlotte"
"129","2012","Axcient","2,462%","$4.3m","Security","65.0","San Jose"
"130","2012","Central Logic","2,449%","$6.4m","Health","37.0","Salt Lake City"
"131","2012","Integrity Management Consulting","2,439%","$14.5m","Government Services","56.0","Washington, DC"
"132","2012","Liazon","2,417%","$4.5m","Insurance","62.0","New York City"
"133","2012","EagleView Technologies","2,406%","$35.4m","Software","161.0","Seattle"
"134","2012","Maestro Technologies","2,402%","$3.9m","IT Services","47.0","New York City"
"135","2012","Potomac Research Group","2,397%","$5.4m","Business Products & Services","22.0","Washington, DC"
"136","2012","Slingshot SEO","2,391%","$10.9m","Advertising & Marketing","90.0","Indianapolis, IN"
"137","2012","DealerRater","2,366%","$9m","Consumer Products & Services","29.0","Boston"
"138","2012","Modus eDiscovery","2,342%","$7.8m","Business Products & Services","29.0","Washington, DC"
"139","2012","Rapier Solutions","2,336%","$3.5m","IT Services","32.0","Charlotte"
"140","2012","A10 Networks","2,334%","$91.6m","Computer Hardware","333.0","San Jose"
"141","2012","TubeMogul","2,333%","$17.8m","Advertising & Marketing","80.0","San Francisco"
"142","2012","Gotham Cigars","2,330%","$3m","Retail","12.0","Miami"
"143","2012","Four Foods Group","2,283%","$12.4m","Food & Beverage","455.0","Provo-Orem, UT"
"144","2012","Discount Cleaning Products","2,274%","$2.7m","Business Products & Services","5.0","New York City"
"145","2012","Center for Innovation, Excellence & Leadership","2,230%","$3.2m","Education","12.0","Boston"
"146","2012","Likeable Media","2,225%","$4.7m","Advertising & Marketing","24.0","New York City"
"147","2012","The Clearing","2,223%","$3.7m","Business Products & Services","17.0","Washington, DC"
"148","2012","AllEarth Renewables","2,217%","$20m","Energy","24.0","Burlington-South Burlington, VT"
"149","2012","CarGurus","2,210%","$5.2m","Consumer Products & Services","15.0","Boston"
"150","2012","Aspen Healthcare Services","2,195%","$2.3m","Health","90.0","Dallas"
"151","2012","Drivers History","2,194%","$2.3m","Insurance","15.0","Philadelphia"
"152","2012","NuCourse Distribution","2,193%","$41.1m","Consumer Products & Services","40.0","Los Angeles"
"153","2012","Lifecycle Construction Services","2,193%","$42.7m","Government Services","26.0","Washington, DC"
"154","2012","NGCI","2,187%","$2.3m","IT Services","35.0","Washington, DC"
"155","2012","Advice Interactive Group","2,174%","$2.3m","Advertising & Marketing","33.0","Dallas"
"156","2012","Momentum Resources","2,169%","$2.6m","Human Resources","7.0","Richmond, VA"
"157","2012","Arvixe","2,154%","$5.3m","IT Services","55.0","San Francisco"
"158","2012","BrightSource Energy","2,147%","$159.1m","Energy","413.0","San Francisco"
"159","2012","Abbyson Living","2,143%","$25.4m","Consumer Products & Services","54.0","Los Angeles"
"201","2012","PalmerHouse Properties","1,807%","$4m","Real Estate","","Atlanta"
"202","2012","Livin' Lite Recreational Vehicles","1,793%","$8.8m","Manufacturing","","Elkhart-Goshen, IN"
"203","2012","AM Pierce & Associates","1,791%","$4.2m","Government Services","","Lexington Park, MD"
"204","2012","School Tech Supply","1,787%","$9m","Education","","Oxnard-Thousand Oaks-Ventura, CA"
"205","2012","Packrite","1,778%","$10.4m","Manufacturing","","Greensboro-High Point, NC"
"206","2012","Happy Family Brands","1,772%","$34.7m","Consumer Products & Services","","New York City"
"207","2012","Saratoga Roofing & Construction","1,768%","$11.5m","Construction","","Oklahoma City, OK"
"208","2012","MoJack","1,764%","$10.3m","Consumer Products & Services","","Wichita, KS"
"209","2012","Qoncert","1,755%","$13.8m","IT Services","","Tampa"
"210","2012","Motivity Solutions","1,736%","$2.4m","Software","","Denver"
"211","2012","Precious Metal Refining Services","1,733%","$120.1m","Business Products & Services","","Chicago"
"212","2012","Vanguard Energy Partners","1,724%","$111.2m","Energy","","New York City"
"213","2012","uSamp","1,718%","$36.1m","Software","","Los Angeles"
"214","2012","mophie","1,709%","$47.7m","Consumer Products & Services","","Los Angeles"
"215","2012","FCi Federal","1,686%","$33.8m","Government Services","","Washington, DC"
"216","2012","SunDurance Energy","1,681%","$56.2m","Energy","","New York City"
"217","2012","Full Circle Marketing","1,679%","$2.2m","Advertising & Marketing","","Miami"
"218","2012","Blue Global","1,676%","$27.1m","Advertising & Marketing","","Phoenix"
"219","2012","FastSpring","1,667%","$44.5m","Software","","Santa Barbara-Santa Maria-Goleta, CA"
"220","2012","JG Tax Group","1,664%","$3.4m","Financial Services","","Miami"
"221","2012","J.Hilburn","1,637%","$16.5m","Retail","","Dallas"
"222","2012","Recondo Technology","1,619%","$15.6m","Health","","Denver"
"223","2012","Link America","1,616%","$213.9m","Telecommunications","","Dallas"
"224","2012","OverstockDeals.com","1,615%","$10m","Retail","","Denver"
"225","2012","Suzanne Evans Coaching","1,615%","$2.3m","Business Products & Services","","Georgetown, SC"
"226","2012","VideoBlocks","1,606%","$4.5m","Media","","Washington, DC"
"227","2012","Resource Financial","1,600%","$6.9m","Financial Services","","Columbia, SC"
"228","2012","Real Property Management","1,591%","$28.3m","Real Estate","","Ogden-Clearfield, UT"
"229","2012","SilkRoute","1,588%","$12.6m","Software","","Detroit"
"230","2012","Mav6","1,556%","$116.8m","Government Services","","Washington, DC"
"231","2012","Performance Indicator","1,555%","$2.5m","Engineering","","Boston"
"232","2012","Millennial Media","1,551%","$103.6m","Advertising & Marketing","","Baltimore"
"233","2012","Electrical Distributors","1,549%","$25.8m","Construction","","Dallas"
"234","2012","myFootpath","1,527%","$9.4m","Advertising & Marketing","","Chicago"
"235","2012","Resonate","1,520%","$9.8m","Advertising & Marketing","","Washington, DC"
"236","2012","LeanDog","1,518%","$5.3m","Business Products & Services","","Cleveland"
"237","2012","RTA Cabinet Store","1,504%","$4.1m","Consumer Products & Services","","Philadelphia"
"238","2012","Yagoozon","1,504%","$4m","Retail","","Providence-New Bedford-Fall River, RI-MA"
"239","2012","Careers In Transition","1,500%","$5.2m","Human Resources","","Atlanta"
"240","2012","OSB","1,498%","$6.7m","Human Resources","","New York City"
"241","2012","ESAC","1,498%","$4m","Health","","Washington, DC"
"242","2012","Votigo","1,493%","$3.3m","Software","","Boulder, CO"
"243","2012","Capitol Media Solutions","1,493%","$8.6m","Advertising & Marketing","","Atlanta"
"244","2012","Independent Catalyst","1,467%","$7.8m","IT Services","","Pittsburgh, PA"
"245","2012","Vdart","1,467%","$12m","IT Services","","Atlanta"
"246","2012","Alex and Ani","1,454%","$17.4m","Retail","","Providence-New Bedford-Fall River, RI-MA"
"247","2012","ConsumerSoft","1,449%","$5.6m","Software","","New York City"
"248","2012","BuySellAds","1,447%","$8.5m","Advertising & Marketing","","Boston"
"249","2012","IfByPhone","1,442%","$7.6m","Advertising & Marketing","","Chicago"
"250","2012","Strategic AR","1,438%","$2.4m","Health","","Kansas City, MO-KS"
"251","2012","New Wave Surgical","1,434%","$5.1m","Health","","Miami"
"252","2012","MBL Technologies","1,418%","$10.9m","IT Services","","Washington, DC"
"253","2012","TISTA Science and Technology","1,410%","$9.9m","Government Services","","Washington, DC"
"254","2012","Transcend United Technologies","1,406%","$37.3m","IT Services","","Philadelphia"
"255","2012","EndoChoice","1,396%","$19.3m","Health","","Atlanta"
"256","2012","Solution IT","1,394%","$7.7m","IT Services","","Boston"
"257","2012","Cinium Financial Services","1,386%","$3.1m","Financial Services","","Miami"
"258","2012","Chrome River Technologies","1,386%","$6.6m","Software","","Los Angeles"
"259","2012","Mariposa MedSpa","1,383%","$2m","Health","","Oklahoma City, OK"
"260","2012","Clinipace Worldwide","1,383%","$18.4m","Health","","Raleigh-Cary, NC"
"261","2012","T-Force","1,382%","$28.5m","Telecommunications","","Los Angeles"
"262","2012","Phone.com","1,373%","$5.3m","Telecommunications","","New York City"
"263","2012","The Brixton Group","1,371%","$13m","IT Services","","Charlotte"
"264","2012","Janrain","1,361%","$3.4m","Software","","Portland, OR"
"265","2012","RainKing Software","1,359%","$8.6m","IT Services","","Washington, DC"
"266","2012","Drupal Connect","1,351%","$3.5m","IT Services","","Providence-New Bedford-Fall River, RI-MA"
"267","2012","Astonish Results","1,350%","$11.3m","Insurance","","Providence-New Bedford-Fall River, RI-MA"
"268","2012","Touchstorm","1,349%","$4.8m","Media","","New York City"
"269","2012","Special Operations Solutions","1,324%","$5.8m","Government Services","","Washington, DC"
"270","2012","Atyeti","1,320%","$3.7m","IT Services","","New York City"
"271","2012","MediaMath","1,319%","$77.7m","Advertising & Marketing","","New York City"
"272","2012","Swaim Logistics","1,317%","$3.5m","Logistics & Transportation","","Tulsa, OK"
"273","2012","ACT Appraisal","1,317%","$3.9m","Real Estate","","Chicago"
"274","2012","TigerFitness.com","1,311%","$2.1m","Retail","","Cincinnati"
"275","2012","Mango Languages","1,310%","$5.9m","Education","","Detroit"
"276","2012","VAE","1,308%","$18.7m","Government Services","","Washington, DC"
"277","2012","Contour","1,303%","$27.3m","Consumer Products & Services","","Seattle"
"278","2012","Prolim","1,302%","$3.3m","IT Services","","Detroit"
"279","2012","Total Beauty Media Group","1,300%","$7.3m","Media","","Los Angeles"
"280","2012","Landmark Retail","1,299%","$3.2m","Construction","","New York City"
"281","2012","Viva Railings","1,295%","$3.4m","Construction","","Dallas"
"282","2012","Citadel Insurance Services","1,292%","$2.3m","Insurance","","Provo-Orem, UT"
"283","2012","Evoke Research and Consulting","1,291%","$8.9m","Government Services","","Washington, DC"
"284","2012","UnitedLex","1,287%","$42.7m","Business Products & Services","","Kansas City, MO-KS"
"285","2012","BlackRapid","1,282%","$6.1m","Consumer Products & Services","","Seattle"
"286","2012","Cal-American Homes","1,277%","$2.3m","Real Estate","","Los Angeles"
"287","2012","Marin Software","1,274%","$36.1m","Software","","San Francisco"
"288","2012","Sovereign Systems","1,274%","$35.4m","IT Services","","Atlanta"
"289","2012","Bongo International","1,271%","$7.3m","Logistics & Transportation","","Tampa"
"290","2012","Urban Office Products","1,270%","$8.2m","Business Products & Services","","New York City"
"291","2012","Medigap360","1,268%","$3.2m","Insurance","","Austin"
"292","2012","DomainMarket.com","1,266%","$2m","IT Services","","Washington, DC"
"293","2012","Excet","1,266%","$45m","Government Services","","Washington, DC"
"294","2012","Facebook","1,264%","$3.7b","Media","","San Francisco"
"295","2012","Clary Solar","1,256%","$4m","Energy","","San Diego"
"296","2012","SCS Direct","1,255%","$32.5m","Retail","","Bridgeport-Stamford-Norwalk, CT"
"297","2012","Public Engines","1,247%","$2.7m","Security","","Salt Lake City"
"298","2012","Alligator Performance","1,245%","$11m","Retail","","Coeur d'Alene, ID"
"299","2012","Dancin' Dogg Golf","1,241%","$4.7m","Consumer Products & Services","","Traverse City, MI"
"300","2012","LINQ Services","1,240%","$26.7m","Business Products & Services","","Baltimore"
"301","2012","Revolution Foods","1,239%","$36m","Food & Beverage","","San Francisco"
"302","2012","OnDeck","1,233%","$19.5m","Financial Services","","New York City"
"303","2012","Digital Video Networks","1,233%","$3.6m","Business Products & Services","","Phoenix"
"304","2012","Burry Foods","1,232%","$78.8m","Food & Beverage","","Chicago"
"305","2012","Target Logistics","1,225%","$45.7m","Business Products & Services","","Boston"
"306","2012","RealSelf","1,217%","$2.4m","Health","","Seattle"
"307","2012","Round Sky","1,212%","$7.2m","Advertising & Marketing","","Los Angeles"
"308","2012","Pivot Employment Platforms","1,206%","$84.5m","Human Resources","","Kansas City, MO-KS"
"309","2012","WeddingWire","1,200%","$10.1m","Consumer Products & Services","","Washington, DC"
"310","2012","New Penn Financial","1,200%","$47.6m","Financial Services","","Philadelphia"
"311","2012","InDemand Interpreting","1,198%","$2.2m","Health","","Seattle"
"312","2012","E4E Solutions","1,198%","$2.8m","Energy","","Atlanta"
"313","2012","Code42","1,194%","$18.5m","Software","","Minneapolis"
"314","2012","HubSpot","1,193%","$28.4m","Software","","Boston"
"315","2012","MYTEK Network Solutions","1,188%","$2.6m","IT Services","","Phoenix"
"316","2012","Free For All","1,187%","$3.8m","Health","","Philadelphia"
"317","2012","Verdi Consulting","1,181%","$4.2m","Government Services","","Washington, DC"
"318","2012","Pacific Global","1,177%","$6.4m","Health","","Philadelphia"
"319","2012","US Appraisal Group","1,177%","$4m","Real Estate","","Chicago"
"320","2012","Daytner Construction","1,173%","$18m","Construction","","Baltimore"
"321","2012","Evolve IP","1,171%","$17.2m","IT Services","","Philadelphia"
"322","2012","Demandforce","1,167%","$37.2m","Software","","San Francisco"
"323","2012","CPAlead","1,166%","$21.1m","Advertising & Marketing","","Las Vegas-Paradise, NV"
"324","2012","Apex Resources","1,164%","$13.8m","Manufacturing","","Houston"
"325","2012","American Group","1,156%","$9.8m","Logistics & Transportation","","Phoenix"
"326","2012","StrataShops","1,155%","$3.5m","Retail","","Elkhart-Goshen, IN"
"327","2012","Tailgate Clothing","1,153%","$24.7m","Consumer Products & Services","","Des Moines-West Des Moines, IA"
"328","2012","OpenSky","1,150%","$28m","IT Services","","Hartford-West Hartford-East Hartford, CT"
"329","2012","Prodigy Resources","1,149%","$9.6m","Human Resources","","Denver"
"330","2012","REPAY - Realtime Electronic Payments","1,147%","$10.7m","Financial Services","","Atlanta"
"331","2012","VetsAmerica Business Consulting","1,147%","$16.1m","IT Services","","Washington, DC"
"332","2012","Complete Nutrition","1,145%","$65.4m","Health","","Omaha-Council Bluffs, NE-IA"
"333","2012","MetroSpec Technology","1,144%","$5.8m","Manufacturing","","Minneapolis"
"334","2012","Grand River","1,140%","$4m","IT Services","","Ann Arbor, MI"
"335","2012","Wastren Advantage","1,132%","$104.8m","Environmental Services","","Athens-Clarke, GA"
"336","2012","Technology Support","1,127%","$28.7m","IT Services","","Houston"
"337","2012","Forward Health","1,127%","$5.1m","Health","","New York City"
"338","2012","BiblioLabs","1,111%","$17.4m","Media","","Charleston-North Charleston, SC"
"339","2012","Bedgear","1,107%","$16.9m","Consumer Products & Services","","New York City"
"340","2012","TMG Financial Services","1,105%","$15.2m","Financial Services","","Des Moines-West Des Moines, IA"
"341","2012","Lukie Games","1,103%","$3.8m","Retail","","Miami"
"342","2012","InGenesis","1,097%","$57.3m","Business Products & Services","","San Antonio-New Braunfels, TX"
"343","2012","ChromoLogic","1,096%","$3.1m","Engineering","","Los Angeles"
"344","2012","Gazelle","1,094%","$35.2m","Consumer Products & Services","","Boston"
"345","2012","Enstoa","1,091%","$5.5m","Business Products & Services","","New York City"
"346","2012","Avaap","1,087%","$5.3m","IT Services","","New York City"
"347","2012","ScanDigital","1,081%","$4.8m","Consumer Products & Services","","Los Angeles"
"348","2012","Driven Local","1,072%","$4.7m","Advertising & Marketing","","New York City"
"349","2012","Hawaii Energy Connection","1,065%","$18.7m","Energy","","Honolulu, HI"
"350","2012","BookPal","1,065%","$3.9m","Consumer Products & Services","","Los Angeles"
"351","2012","Linode","1,065%","$22.3m","IT Services","","Atlantic City, NJ"
"352","2012","Propel Fuels","1,060%","$11.8m","Energy","","San Francisco"
"353","2012","SpringAhead","1,059%","$2.1m","Software","","San Francisco"
"354","2012","Business Insider","1,055%","$7.7m","Media","","New York City"
"355","2012","MapMyFitness","1,052%","$6.1m","Consumer Products & Services","","Austin"
"356","2012","NextLot","1,046%","$2.4m","Software","","Raleigh-Cary, NC"
"357","2012","Popchips","1,045%","$73.2m","Food & Beverage","","San Francisco"
"358","2012","Universal Understanding","1,041%","$105.5m","IT Services","","Jacksonville, FL"
"359","2012","Dovetail Insurance","1,036%","$5.3m","Insurance","","Columbia, SC"
"360","2012","Impact Makers","1,030%","$3.2m","IT Services","","Richmond, VA"
"361","2012","ShayCore Enterprises","1,026%","$3.8m","Construction","","Jacksonville, FL"
"362","2012","JWB Real Estate Capital","1,026%","$5.9m","Real Estate","","Jacksonville, FL"
"363","2012","DocuLynx","1,024%","$22.4m","Software","","Omaha-Council Bluffs, NE-IA"
"364","2012","B3 Solutions","1,022%","$22.4m","Government Services","","Jacksonville, FL"
"365","2012","Content Marketing Institute","1,021%","$2m","Media","","Cleveland"
"366","2012","The Trademark Company","1,016%","$3.9m","Business Products & Services","","Washington, DC"
"367","2012","Soft Tech Consulting","1,014%","$11.7m","Government Services","","Washington, DC"
"368","2012","Mail Shark","1,006%","$3.3m","Advertising & Marketing","","Lancaster, PA"
"369","2012","Allied Wallet USA","1,005%","$4.2m","Financial Services","","Los Angeles"
"370","2012","Plan B Burger Bar","1,002%","$19.2m","Food & Beverage","","Hartford-West Hartford-East Hartford, CT"
"371","2012","American Partners","1,001%","$25.5m","IT Services","","Providence-New Bedford-Fall River, RI-MA"
"372","2012","Network Solutions Provider","1,001%","$6m","Telecommunications","","Los Angeles"
"373","2012","Boston Technologies","1,000%","$9.2m","Financial Services","","Boston"
"374","2012","Pod1","997%","$3.9m","Advertising & Marketing","","New York City"
"375","2012","Rally Point Management","995%","$10.3m","Government Services","","Fort Walton Beach-Crestview-Destin, FL"
"376","2012","FluidEdge Consulting","989%","$5.4m","Health","","Philadelphia"
"377","2012","Aden+Anais","987%","$18.9m","Consumer Products & Services","","New York City"
"378","2012","AgentMarketing.com","986%","$4.7m","Real Estate","","Los Angeles"
"379","2012","Rescue One Financial","986%","$13.7m","Financial Services","","Los Angeles"
"380","2012","Macro Energy","985%","$2.8m","Energy","","Philadelphia"
"381","2012","Kramer Direct","984%","$6m","Advertising & Marketing","","Dallas"
